product_id,name,price,quantity,category,production_date,expiration_date,rating,status
1,Адлеркурортная,4754.0,769,Напитки,1993-05-17,2013-05-10,4.65,Pending
2,Коктебельская,5485.0,436,Напитки,2022-08-15,2023-04-08,4.2,Cancelled
3,Айран,2465.0,601,Молочные продукты,1998-02-15,2029-01-05,3.28,Sold
4,Сметана,6058.0,11,Молочные продукты,2011-05-03,2026-05-04,1.1,Cancelled
5,Брокколи,5432.0,384,Овощи,2016-04-03,2019-05-04,4.43,Delivered
6,Кольраби,5113.0,775,Овощи,1991-10-01,2022-02-02,4.02,Refunded
7,Пледы,9400.0,113,Товары для дома,1990-04-16,2008-11-12,4.13,Temporarily Unavailable
8,Подставки под горячие блюда,974.0,317,Товары для дома,1990-04-15,2013-02-14,2.55,Out of Stock
9,Ленинградская,1099.0,880,Напитки,1996-02-07,2003-04-08,2.12,New
10,Каша из дробленого кускуса,5008.0,99,Бакалея,1999-04-08,2030-01-01,0.14,Delivered
11,Хлебопечка,8923.0,23,Товары для дома,2015-03-21,2015-08-14,3.58,Awaiting Payment
12,Свинина,2504.0,273,Мясо,2020-01-12,2023-05-01,1.53,On Backorder
13,Яблоко,6924.0,735,Фрукты,2016-01-05,2024-12-02,2.82,Sold
14,Боржоми,4235.0,377,Напитки,2010-02-04,2025-08-05,3.81,Refunded
15,Окра,1292.0,949,Овощи,1994-02-17,2000-10-06,0.53,Temporarily Unavailable
16,Манго,3586.0,723,Фрукты,2018-01-13,2027-02-10,0.13,Cancelled
17,Окорок,8847.0,100,Мясо,2006-01-04,2016-01-12,4.86,Awaiting Payment
18,Сливки,4675.0,319,Молочные продукты,1990-06-01,2005-07-06,1.38,Shipping
19,Буковинская,3555.0,178,Напитки,2007-05-09,2011-01-02,0.81,Awaiting Payment
20,Бифштекс,9780.0,650,Мясо,2004-01-24,2011-02-14,3.69,On Backorder
21,Творог,1142.0,363,Молочные продукты,2014-04-05,2014-04-11,2.93,Temporarily Unavailable
22,Чай черный,2346.0,401,Бакалея,2003-05-19,2025-03-25,1.14,Cancelled
23,Шалфей сушеный,9247.0,6,Бакалея,1991-03-14,2030-05-12,0.95,Out of Stock
24,Coca-Cola Zero,5362.0,502,Напитки,1995-09-04,2013-03-01,3.34,Cancelled
25,Пажитник сушеный,3353.0,779,Бакалея,2018-07-01,2021-04-18,3.13,Backorder
26,Бумажные полотенца,9058.0,799,Товары для дома,2014-04-09,2016-02-08,4.12,Sold
27,Курортная,8873.0,382,Напитки,1991-04-01,1998-01-03,4.43,Awaiting Review
28,Адлеркурортная,9662.0,892,Напитки,1999-02-03,2022-06-03,4.45,Delivered
29,Куриные бедра,859.0,444,Мясо,2005-01-02,2018-02-02,3.49,Returned
30,Щавель,6826.0,923,Овощи,1995-10-07,2003-01-02,2.12,Cancelled
31,Репа,7574.0,926,Овощи,2016-04-05,2026-01-10,2.05,Sold
32,Карбонад,1590.0,579,Мясо,2005-05-03,2028-03-05,1.15,Pending
33,Фета,8749.0,99,Молочные продукты,2019-07-01,2030-04-02,1.97,Sold
34,Айва,7500.0,571,Фрукты,2001-04-02,2002-01-02,1.38,Sold
