Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
210317,2021,07/05/2022,Avon,53 COTSWOLD WAY,329730.00,805000.00,0.4096,Residential,Single Family,,,,POINT (-72.846365959 41.781677018)
22043,2022,03/15/2023,Beacon Falls,41 EDGEWOOD DRIVE,164170.00,285000.00,0.5760,Residential,Single Family,,,,POINT (-73.053071989 41.439434021)
220440,2022,02/16/2023,Branford,69 MONTOYA,84300.00,195000.00,0.4323,Residential,Condo,,,,POINT (-72.828043035 41.282226984)
20139,2020,12/16/2020,Bethel,16 DEEPWOOD DRIVE,171360.00,335000.00,0.5115,Residential,Single Family,,,,
210035,2021,10/20/2021,Branford,25 QUARRY DOCK RD,208100.00,448000.00,0.4645,Residential,Condo,,,,POINT (-72.815906039 41.268214998)
200032,2020,10/08/2020,Bristol,9 LESLIE COURT,94920.00,155000.00,0.6123,Residential,Single Family,,,,
211997,2021,08/02/2022,Bridgeport,1963 MAIN ST,257910.00,500000.00,0.5158,Commercial,,,,,POINT (-73.196744012 41.189862979)
20000179,2020,02/22/2021,Brookfield,72 HOMESTEAD LN,94770.00,170000.00,0.5574,Residential,Condo,,,,
220029,2022,04/20/2023,Cornwall,DAY RD,153100.00,190000.00,0.8057,Vacant Land,,,,,POINT (-73.35203565 41.782837297)
200078,2020,09/20/2021,Chester,6 SUNSET AVE,250100.00,418800.00,0.5971,Residential,Single Family,,,,
200074,2020,09/01/2021,Cornwall,131 KENT RD,246100.00,385000.00,0.6392,Commercial,,,,,
200039,2020,11/06/2020,Coventry,2075 MAIN ST,43700.00,25000.00,1.748,Vacant Land,,,,,
200742,2020,03/29/2021,Danbury,17 OHEHYAHTAH PL,339100.00,550000.00,0.6165,Residential,Single Family,,H16095,,
220261,2022,07/13/2023,East Lyme,2 PEACH LN,465500.00,827000.00,0.5628,Residential,Single Family,,,,POINT (-72.243243015 41.370139989)
201580,2020,09/27/2021,Danbury,25 CROWN ST,192300.00,525000.00,0.366285714,Residential,Two Family,,J12167,GOOD SALE PER MLS,
200215,2020,06/04/2021,East Haddam,SHANAGHAN RD,51690.00,65000.00,0.7952,Vacant Land,,,,,
10095,2001,11/16/2001,Farmington,5 SPARROW LN,67670.00,302866.00,0.223432145,,,7,,,
10115,2001,02/01/2002,Clinton,42 PRATT RD,121900.00,230000.00,0.53,,,,,,
210176,2021,04/19/2022,East Hampton,10 LOWELL RD,153570.00,270000.00,0.5687,Residential,Single Family,,,,POINT (-72.490998997 41.594506983)
200305,2020,01/26/2021,Enfield,15 SALERNO DR,233660.00,410000.00,0.5699,Residential,Single Family,,,,
10452,2001,12/14/2001,Danbury,DIVISION ST,140700.00,300000.00,0.469,,,,,,
221007,2022,09/25/2023,Hamden,117 CUMPSTONE DR,144620.00,365000.00,0.3962,Residential,Single Family,,,,POINT (-72.906959994 41.401053998)
210771,2021,06/08/2022,Fairfield,33 REEF COURT,370160.00,625000.00,0.5922,Residential,Single Family,,,,POINT (-73.252361041 41.134042983)
200055,2020,11/19/2020,Essex,HILLSIDE DR,5600.00,5000.00,1.12,Vacant Land,,12 - Non Buildable Lot,EXCESS LAND,,
10133,2001,07/30/2002,Durham,22 JOHN'S WAY,60340.00,82000.00,0.735853659,,,,,,
20064,2020,08/31/2021,Franklin,888 ROUTE 32,186770.00,209000.00,0.8936,Commercial,,25 - Other,HARDSHIP SALE,,
10044,2001,11/30/2001,Derby,5 WOODLAND WALK,175000.00,280000.00,0.625,,,,,,
10383,2001,01/23/2002,Hamden,297 PARK RD,77490.00,115000.00,0.673826087,,,,,,
10115,2001,03/11/2002,East Haddam,45 EH COLCHESTER TPKE,71330.00,122000.00,0.584672131,,,,,,
21272,2021,04/06/2022,Guilford,137 OLD QUARRY RD,1260000.00,1600000.00,0.7875,Residential,Single Family,,,,POINT (-72.732482968 41.255499987)
201494,2020,07/28/2021,Greenwich,20 EAST LYON FARM DRIVE,632170.00,1250000.00,0.5057,Residential,Condo,,,,
220442,2022,03/24/2023,Meriden,8 JACKSON ST,124740.00,325000.00,0.3838,Residential,Four Family,,,,POINT (-72.795065023 41.543150014)
