List Year,Town,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type
2022.0,,1595160.0,3195000.0,4.496842105,,
2001.0,,5600.0,0.0,0.0,,
2017.12,,216085.65,394388.98,0.637570808419999,,
201712.0,,21608565.0,39438898.0,63.75708084199999,,
7.888464919607542,,243390.84595388744,441480.83960203355,0.5297230868371421,,
100.0,100,100.0,100.0,100.0,100,100
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.02, 'count': 2}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.03, 'count': 3}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.02, 'count': 2}",,,,,
,"{'freq': 0.02, 'count': 2}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.03, 'count': 3}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.02, 'count': 2}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.03, 'count': 3}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.02, 'count': 2}",,,,,
,"{'freq': 0.02, 'count': 2}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.02, 'count': 2}",,,,,
,"{'freq': 0.04, 'count': 4}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.03, 'count': 3}",,,,,
,"{'freq': 0.03, 'count': 3}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.02, 'count': 2}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.03, 'count': 3}",,,,,
,"{'freq': 0.02, 'count': 2}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.02, 'count': 2}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.02, 'count': 2}",,,,,
,"{'freq': 0.04, 'count': 4}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,"{'freq': 0.01, 'count': 1}",,,,,
,,,,,"{'freq': 0.59, 'count': 59}",
,,,,,"{'freq': 0.09, 'count': 9}",
,,,,,"{'freq': 0.11, 'count': 11}",
,,,,,"{'freq': 0.19, 'count': 19}","{'freq': 0.41000000000000003, 'count': 41}"
,,,,,"{'freq': 0.02, 'count': 2}",
,,,,,,"{'freq': 0.37, 'count': 37}"
,,,,,,"{'freq': 0.17, 'count': 17}"
,,,,,,"{'freq': 0.03, 'count': 3}"
,,,,,,"{'freq': 0.01, 'count': 1}"
,,,,,,"{'freq': 0.01, 'count': 1}"
